COMP,GAP,COMPGAP,TRT,TREE#,STATUS,SPP,DBH,HEIGHT,CRWNcls,HTCB,DISTANCE ,SIDE,P/NP,COMMENTS
10,O,10O,MH,1,,WF,5.8,,,8.2,,,P,
10,O,10O,MH,2,,WF,2.6,,,1.5,,,NP,
10,O,10O,MH,3,,IC,5.8,,,4.5,,,NP,
10,O,10O,MH,4,,IC,2.6,,,5,,,P,
10,O,10O,MH,5,,WF,2,,,0.5,,,NP,
10,O,10O,MH,6,,DF,1.5,,,4,,,P,
10,O,10O,MH,7,,IC,2.7,,,0.5,,,NP,
10,O,10O,MH,8,,IC,8.4,,,7.4,,,P,
10,O,10O,MH,9,,DF,4.7,,,8.3,,,P,
10,O,10O,MH,10,,DF,6.1,,,1.5,,,NP,
10,O,10O,MH,11,,WF,2,,,0,,,NP,
10,O,10O,MH,12,,IC,4.4,,,0.5,,,NP,
10,O,10O,MH,14,,IC,3.8,,,2,,,NP,
10,O,10O,MH,15,,IC,3.8,,,6.5,,,P,
10,O,10O,MH,16,,WF,1.5,,,0,,,NP,
10,O,10O,MH,17,,DF,3.5,,,1.5,,,NP,
10,O,10O,MH,18,,DF,5.8,,,2.5,,,NP,
10,O,10O,MH,19,,DF,2.4,,,6.1,,,P,
10,O,10O,MH,20,,IC,4.3,,,2,,,NP,
10,O,10O,MH,21,,IC,6.5,,,2,,,NP,
10,O,10O,MH,22,,PP,3.1,,,5.7,,,P,
10,O,10O,MH,23,,IC,3.7,,,6.4,,,P,
10,O,10O,MH,24,,IC,4.9,,,7.2,,,P,
10,O,10O,MH,25,,IC,4.9,,,7.8,,,P,
10,O,10O,MH,26,,IC,4,,,0,,,NP,
10,O,10O,MH,27,,IC,5,,,0,,,NP,
10,O,10O,MH,28,,PP,5,,,2,,,NP,
10,O,10O,MH,29,,IC,4,,,2,,,NP,
10,O,10O,MH,30,,IC,5.9,,,3,,,NP,
10,O,10O,MH,31,,DF,4.6,,,7.4,,,P,
10,O,10O,MH,32,,SP,5.1,,,1.5,,,NP,
10,O,10O,MH,33,,PP,6.3,,,7.1,,,NP,
10,O,10O,MH,34,,IC,2.4,,,2,,,NP,
10,O,10O,MH,35,,DF,5.3,,,1.5,,,NP,
10,O,10O,MH,36,,IC,4.9,,,6.7,,,P,
10,O,10O,MH,37,,IC,5.6,,,7.4,,,P,
10,O,10O,MH,38,,IC,5.9,,,0,,,NP,
10,O,10O,MH,39,,IC,2.7,,,5.5,,,P,
10,O,10O,MH,40,,IC,3,,,2.5,,,NP,
10,O,10O,MH,41,,PP,3.6,,,2.5,,,NP,
10,O,10O,MH,42,,DF,3.6,,,6,,,P,
10,O,10O,MH,43,,DF,2.6,,,6,,,P,
10,O,10O,MH,44,,DF,4.3,,,0,,,NP,
10,O,10O,MH,45,,PP,7,,,9.2,,,P,
10,O,10O,MH,46,,IC,4.5,,,1,,,NP,
10,O,10O,MH,47,,PP,5.8,,,4,,,NP,
10,O,10O,MH,48,,PP,5.2,,,3.5,,,NP,
10,O,10O,MH,49,,DF,4.1,,,0,,,NP,
10,O,10O,MH,50,,PP,4.9,,,6.9,,,P,
10,O,10O,MH,51,,IC,3.4,,,0,,,NP,
10,O,10O,MH,52,,DF,3.2,,,6.8,,,P,
10,O,10O,MH,53,,DF,4.2,,,0,,,NP,
10,O,10O,MH,54,,IC,4.4,,,6.4,,,P,
10,O,10O,MH,55,,DF,4.2,,,2,,,NP,
10,O,10O,MH,56,,DF,4.9,,,7.3,,,P,
10,O,10O,MH,57,,DF,3.8,,,6.8,,,P,
10,O,10O,MH,58,,DF,4.2,,,8.6,,,P,
10,O,10O,MH,59,,IC,4.2,,,1,,,NP,
10,O,10O,MH,60,,DF,1.8,,,2,,,NP,
10,O,10O,MH,61,,DF,4.6,,,3,,,NP,
10,O,10O,MH,62,,IC,3,,,5.5,,,P,
10,O,10O,MH,63,,IC,2.7,,,3.5,,,NP,
10,O,10O,MH,64,,DF,2.8,,,0,,,NP,
10,O,10O,MH,65,,IC,4.8,,,5.9,,,P,
10,O,10O,MH,66,,DF,2.5,,,5.5,,,P,
10,O,10O,MH,67,,DF,2.1,,,1,,,NP,
10,O,10O,MH,68,,DF,2.9,,,6.8,,,P,
10,O,10O,MH,69,,IC,2.4,,,0,,,NP,
10,O,10O,MH,70,,IC,2.6,,,0,,,NP,
10,O,10O,MH,71,,PP,4.6,,,7,,,P,
10,O,10O,MH,72,,PP,4.7,,,6.1,,,NP,
10,O,10O,MH,73,,PP,6.5,,,9.7,,,P,
10,O,10O,MH,74,,DF,2.1,,,5.5,,,P,
10,O,10O,MH,75,,SP,4,,,2,,,NP,
10,O,10O,MH,76,,IC,4.9,,,6.5,,,P,
10,O,10O,MH,77,,PP,5.8,,,2,,,NP,
10,O,10O,MH,78,,IC,6,,,7.1,,,P,
10,O,10O,MH,79,,DF,3.9,,,7.1,,,P,
10,O,10O,MH,80,,IC,3.2,,,0,,,NP,
10,O,10O,MH,81,,IC,3.5,,,0.5,,,NP,
10,O,10O,MH,82,,SP,4.6,,,2,,,NP,
10,O,10O,MH,83,,DF,2.4,,,5.5,,,P,
10,O,10O,MH,84,,PP,8.1,,,10.7,,,P,
10,O,10O,MH,85,,DF,1.3,,,0,,,NP,
10,O,10O,MH,86,,GS,5.4,,,7,,,P,
10,O,10O,MH,87,,SP,3.8,,,6.6,,,P,
10,O,10O,MH,88,,PP,6.9,,,4,,,NP,
10,O,10O,MH,89,,PP,6.2,,,7.7,,,P,
10,O,10O,MH,90,,DF,2.1,,,0,,,NP,
10,O,10O,MH,91,,SP,3.6,,,7.7,,,P,
10,O,10O,MH,92,,IC,4.6,,,6.3,,,P,
10,O,10O,MH,93,,PP,6.9,,,5,,,NP,
10,O,10O,MH,94,,DF,4.2,,,2,,,NP,
10,O,10O,MH,95,,DF,4.2,,,0,,,NP,
10,O,10O,MH,96,,IC,2.5,,,0,,,NP,NEXT TO 95
10,O,10O,MH,97,,PP,5.4,,,3,,,NP,
10,O,10O,MH,98,,IC,2.2,,,0,,,NP,
10,O,10O,MH,99,,IC,4.7,,,7.8,,,P,
10,O,10O,MH,100,,DF,3.4,,,1,,,NP,
10,O,10O,MH,101,,DF,4.7,,,7.5,,,P,
10,O,10O,MH,102,,IC,4.7,,,0,,,NP,
10,O,10O,MH,103,,IC,5.4,,,6.7,,,P,
10,O,10O,MH,104,,SP,2.1,,,5.8,,,P,
10,O,10O,MH,105,,IC,3.8,,,6.4,,,P,
10,O,10O,MH,106,,DF,3.5,,,1,,,NP,
10,O,10O,MH,107,,PP,3.6,,,5.5,,,P,
10,O,10O,MH,108,,IC,4.9,,,2,,,NP,
10,O,10O,MH,109,,GS,2.7,,,1,,,NP,
10,O,10O,MH,111,,WF,1.4,,,0,,,NP,
10,O,10O,MH,112,,DF,2.1,,,1,,,NP,
10,O,10O,MH,113,,DF,2.5,,,2.5,,,NP,
10,O,10O,MH,114,,DF,3,,,0,,,NP,
10,O,10O,MH,115,,SP,3.9,,,8.2,,,P,
10,O,10O,MH,116,,DF,4.4,,,0,,,NP,
10,O,10O,MH,117,,PP,5.8,,,2.5,,,NP,
10,O,10O,MH,118,,IC,6.2,,,7,,,P,
10,O,10O,MH,119,,SP,2.8,,,1,,,NP,
10,O,10O,MH,120,,DF,4.1,,,0.5,,,NP,
10,O,10O,MH,121,,GS,9.8,,,6.9,,,P,
10,O,10O,MH,122,,DF,3.5,,,0.5,,,NP,
10,O,10O,MH,123,,IC,5,,,6.6,,,P,
10,O,10O,MH,124,,SP,4.7,,,1,,,NP,
10,O,10O,MH,125,,DF,4.9,,,7.7,,,P,
10,O,10O,MH,126,,GS,6.6,,,2,,,NP,
10,O,10O,MH,127,,IC,5.2,,,7.3,,,P,
10,O,10O,MH,128,,PP,4.8,,,7.8,,,P,
10,O,10O,MH,129,,DF,4.7,,,7.6,,,P,
10,O,10O,MH,130,,SP,5.3,,,3,,,NP,
10,O,10O,MH,131,,IC,5,,,1,,,NP,
