COMP,GAP,TREE#,STATUS,SPP,DBH,HEIGHT,CRWNcls,HTCB,DISTANCE ,SIDE,P/NP,COMMENTS,SCORCH HT,CHAR HT,SCORCH %,CHAR %,TRT,COMPGAP
10,O,49,L,DF,8.3,31,I,1,128,R,NP,WITNESS D 4 AZ 226,,,,,MH,10O
10,O,59,L,IC,9.4,27,C,3,9,R,NP,,,,,,MH,10O
10,O,62,L,IC,6.9,21,C,6,31,L,P,,,,,,MH,10O
10,O,69,L,IC,5.2,19,C,2,59,L,NP,,,,,,MH,10O
10,O,70,L,IC,6,21,C,2,61,L,NP,,,,,,MH,10O
10,O,71,L,PP,9.1,31,C,7,88,R,P,,,,,,MH,10O
10,O,73,L,PP,11.2,40,C,10,102,R,P,,,,,,MH,10O
10,O,74,L,DF,4.5,21,C,5,114,L,P,WITNESS D 13.4 AZ 24,,,,,MH,10O
10,O,75,L,SP,8.4,37,I,3,141,L,NP,WITNESS AZ 143 D 15.8,,,,,MH,10O
10,O,76,L,IC,7.9,30,I,6,151,L,P,,,,,,MH,10O
10,O,77,L,PP,9.8,38,C,7,161,R,NP,,,,,,MH,10O
10,O,78,L,IC,9.4,32,I,7,176,L,P,,,,,,MH,10O
10,O,81,L,IC,8,27,I,2,224,R,NP,,,,,,MH,10O
10,O,84,L,PP,13.2,43,C,10,234,R,P,,,,,,MH,10O
10,O,86,L,GS,9.9,26,C,8,235,L,P,,,,,,MH,10O
10,O,88,L,PP,11,40,C,8,219,L,NP,,,,,,MH,10O
10,O,92,L,IC,8.3,30,C,7,193,L,P,,,,,,MH,10O
10,O,156,L,PP,7.8,30,C,6,89,L,NP,MISSING TAG; RETAGGED AS 156,,,,,MH,10O
10,O,159,L,PP,10.9,42,C,7,139,R,NP,MISSING TAG; RETAGGED AS 19,,,,,MH,10O
10,O,161,L,PP,10.9,45,C,2,168,L,P,MISSING TAG; RETAGGED AS 161,,,,,MH,10O
10,Q,14,L,GS,13,38,C,8,45,L,P,,,,,,MH,10Q
10,Q,15,L,GS,11.8,38,C,9,62,L,P,,,,,,MH,10Q
10,Q,16,L,GS,12.5,31,C,3,70,3,NP,,,,,,MH,10Q
10,Q,17,L,IC,4.6,20,I,3,63,R,NP,,,,,,MH,10Q
10,Q,20,L,SP,9.5,37,C,3,26,R,NP,,,,,,MH,10Q
10,Q,37,L,SP,9.9,36,C,2,166,R,NP,,,,,,MH,10Q
10,Q,45,L,PP,11.2,42,C,5,200,R,NP,WITNESS AZ 6 D 26.5,,,,,MH,10Q
10,Q,56,L,IC,8.5,28,C,3,233,L,NP,,,,,,MH,10Q
10,Q,58,L,SP,7.1,31,C,8,266,R,P,,,,,,MH,10Q
10,Q,59,L,DF,7.7,34,C,2,272,L,NP,,,,,,MH,10Q
10,Q,68,L,PP,6.8,32,C,10,325,L,NP,,,,,,MH,10Q
10,Q,69,L,PP,9.5,44,C,15,331,L,NP,,,,,,MH,10Q
10,Q,70,L,DF,5.8,30,C,3,310,R,NP,,,,,,MH,10Q
10,Q,73,L,PP,8.5,32,C,5,341,R,NP,,,,,,MH,10Q
10,Q,75,L,PP,9.5,42,C,9,354,L,P,,,,,,MH,10Q
10,Q,83,L,SP,6.6,32,C,5,371,L,NP,,,,,,MH,10Q
10,Q,142,L,GS,8.3,23,C,1,138,R,NP,MISSING TAG; RETAGGED AS 142,,,,,MH,10Q
10,Q,148,L,PP,12.5,45,C,8,185,R,NP,MISSING TAG; RETAGGED AS 148,,,,,MH,10Q
10,Q,150,L,PP,9.7,35,C,8,211,L,P,MISSING TAG; RETAGGED AS 150,,,,,MH,10Q
10,Q,151,L,SP,8.4,36,C,7,231,L,P,MISSING TAG; RETAGGED AS 151,,,,,MH,10Q
