COMP,GAP,COMPGAP,TRT,TREE#,STATUS,SPP,DBH_IN,CRWNcls,DISTANCE ,SIDE,P/NP,COMMENTS,PRE_TRT_GROWTH_cm,POST_TRT_GROWTH_cm,CORE_COMMENTS,DEAD_BRANCHES,PER_DIFF,REPL
10,O,10O,MH,5,L,WF,4,C,1,R,NP,,1.6,1.8,,26,12.5,MH1
10,O,10O,MH,45,L,PP,13.2,C,189,R,P,RETAGGED,3.1,5.9,,4,90.32,MH1
10,O,10O,MH,49,L,DF,8.6,C,136,R,NP,,3.5,3.9,,19,11.43,MH1
10,O,10O,MH,59,L,IC,10.4,C,13,R,NP,,2.8,4.1,,12,46.43,MH1
10,O,10O,MH,62,L,IC,8.1,C,36,L,P,,2.7,4.9,,1,81.48,MH1
10,O,10O,MH,63,L,IC,9.3,C,31,L,NP,,3.1,5,PRE UNCLEAR,6,61.29,MH1
10,O,10O,MH,67,L,DF,7.7,C,54,L,NP,,2.5,4.3,,12,72,MH1
10,O,10O,MH,70,L,IC,7.2,C,65,R,NP,,2.2,3.1,,7,40.91,MH1
10,O,10O,MH,71,L,PP,10.1,C,93,R,P,,3.8,4.3,,4,13.16,MH1
10,O,10O,MH,73,L,PP,12.6,C,107,R,P,,4,4.1,,3,2.5,MH1
10,O,10O,MH,75,L,SP,9.7,C,146,L,NP,,4.1,4.2,,9,2.44,MH1
10,O,10O,MH,76,L,IC,9,C,155,L,P,,3.3,3.1,,3,-6.06,MH1
10,O,10O,MH,77,L,PP,11.1,C,167,L,NP,,4.4,4,,32,-9.09,MH1
10,O,10O,MH,78,L,IC,10.4,C,182,L,P,,4.5,3.7,,1,-17.78,MH1
10,O,10O,MH,81,L,IC,9.3,C,230,L,NP,,3.6,3.8,,7,5.56,MH1
10,O,10O,MH,84,L,PP,14.6,C,253,L,P,,4.9,5.4,,2,10.2,MH1
10,O,10O,MH,86,L,GS,11.4,C,244,L,P,,5.4,5.3,,1,-1.85,MH1
10,O,10O,MH,88,L,PP,11.8,C,221,L,NP,,4.7,4.7,,28,0,MH1
10,O,10O,MH,92,L,IC,9.6,C,197,L,P,,2.8,3.1,,0,10.71,MH1
10,O,10O,MH,156,L,PP,8.7,C,94,L,NP,,3.2,4,2011 UNCLEAR,14,25,MH1
10,O,10O,MH,159,L,PP,11.9,C,146,R,NP,,3.7,4.5,,36,21.62,MH1
10,O,10O,MH,161,L,PP,12,C,173,L,P,,3.8,3.7,,7,-2.63,MH1
10,O,10O,MH,182,L,DF,9,C,47,R,P,,2.6,4,,2,53.85,MH1
10,O,10O,MH,183,L,PP,9.4,C,72,L,NP,,3.1,4.2,,20,35.48,MH1
10,O,10O,MH,184,L,DF,11.5,C,81,R,NP,,3.4,4.4,,16,29.41,MH1
10,O,10O,MH,185,L,PP,9.7,C,87,L,NP,,2.7,3.5,2008 BROKEN,17,29.63,MH1
10,O,10O,MH,186,L,IC,8.7,C,104,R,NP,,3.5,4.3,,15,22.86,MH1
10,O,10O,MH,187,L,PP,9.2,C,125,R,P,,3.2,3.8,,0,18.75,MH1
10,O,10O,MH,188,L,PP,10,C,137,L,NP,,3.8,4.9,,21,28.95,MH1
10,O,10O,MH,189,L,PP,10.9,C,157,R,NP,,4.2,4.5,,37,7.14,MH1
10,O,10O,MH,190,L,IC,10.1,C,176,R,NP,,4,4.8,,11,20,MH1
10,O,10O,MH,191,L,DF,8.5,C,188,R,P,,3.1,3.6,,3,16.13,MH1
10,O,10O,MH,192,L,IC,9.8,C,214,R,NP,,3.1,5,,9,61.29,MH1
10,O,10O,MH,193,L,PP,11.5,C,219,R,NP,,4.5,4.5,,26,0,MH1
10,O,10O,MH,194,L,DF,10,C,235,R,NP,,3.7,4.1,,13,10.81,MH1
10,O,10O,MH,195,L,SP,10.8,C,238,R,NP,,3.7,4.8,2010 BROKEN,31,29.73,MH1
10,O,10O,MH,196,L,DF,6.7,C,258,R,P,,2.8,3.6,,7,28.57,MH1
10,O,10O,MH,197,L,DF,5.5,C,261,L,P,,2.4,2.9,,0,20.83,MH1
10,O,10O,MH,XTRA GS1,L,GS,13.1,C,,,NP,,3.9,4.7,,55,20.51,MH1
10,O,10O,MH,XTRA GS2,L,GS,16.1,C,,,P,,6.5,5.4,,2,-16.92,MH1
10,O,10O,MH,XTRA GS3,L,GS,8.5,C,,,P,,2.9,3.7,,0,27.59,MH1
10,O,10O,MH,XTRA SP1,L,SP,10.9,C,,,NP,,4.5,4.4,,48,-2.22,MH1
10,O,10O,MH,XTRA SP2,L,SP,8.4,C,,,P,,3,3.4,,4,13.33,MH1
10,O,10O,MH,XTRA SP3,L,SP,8.1,C,,,NP,,3.4,4.8,,17,41.18,MH1
10,Q,10Q,MH,14,L,GS,16,C,33,L,P,,5.2,7.1,,0,36.54,MH2
10,Q,10Q,MH,15,L,GS,13.8,C,50,R,P,,6,6.4,,0,6.67,MH2
